MccMnc,Mcc,Mnc,CountryCode,IsoCode2,Network,CountryName,ISO
"99501","995","1","86","IO","Sure (Diego Garcia) Ltd","British Indian Ocean Territory","86"
"99501","995","1","86","IO","Sure (Diego Garcia) Ltd","British Indian Ocean Territory","86"
"99501","995","1","86","IO","Sure (Diego Garcia) Ltd","British Indian Ocean Territory","86"
"99501","995","1","86","IO","Sure (Diego Garcia) Ltd","British Indian Ocean Territory","86"
"99501","995","1","86","IO","Sure (Diego Garcia) Ltd","British Indian Ocean Territory","86"
"99501","995","1","86","IO","Sure (Diego Garcia) Ltd","British Indian Ocean Territory","86"
"99501","995","1","86","IO","Sure (Diego Garcia) Ltd","British Indian Ocean Territory","86"
"99501","995","1","86","IO","Sure (Diego Garcia) Ltd","British Indian Ocean Territory","86"
"99501","995","1","86","IO","Sure (Diego Garcia) Ltd","British Indian Ocean Territory","86"
"99501","995","1","86","IO","Sure (Diego Garcia) Ltd","British Indian Ocean Territory","86"
"99501","995","1","86","IO","Sure (Diego Garcia) Ltd","British Indian Ocean Territory","86"
"99501","995","1","86","IO","Sure (Diego Garcia) Ltd","British Indian Ocean Territory","86"
"750001","750","1","238","FK","Sure South Atlantic Ltd.","Falkland Islands","238"
"750001","750","1","238","FK","Sure South Atlantic Ltd.","Falkland Islands","238"
"750001","750","1","238","FK","Sure South Atlantic Ltd.","Falkland Islands","238"
"750001","750","1","238","FK","Sure South Atlantic Ltd.","Falkland Islands","238"
"74810","748","10","858","UY","AM Wireless Uruguay S.A.","Uruguay","858"
"74810","748","10","858","UY","AM Wireless Uruguay S.A.","Uruguay","858"
"74810","748","10","858","UY","AM Wireless Uruguay S.A.","Uruguay","858"
"74807","748","7","858","UY","Telefónica Móviles Uruguay","Uruguay","858"
"74807","748","7","858","UY","Telefónica Móviles Uruguay","Uruguay","858"
"74807","748","7","858","UY","Telefónica Móviles Uruguay","Uruguay","858"
"74803","748","3","858","UY","Administración Nacional de Telecomunicaciones","Uruguay","858"
"74803","748","3","858","UY","Administración Nacional de Telecomunicaciones","Uruguay","858"
"74803","748","3","858","UY","Administración Nacional de Telecomunicaciones","Uruguay","858"
"74801","748","1","858","UY","Administración Nacional de Telecomunicaciones","Uruguay","858"
"74801","748","1","858","UY","Administración Nacional de Telecomunicaciones","Uruguay","858"
"74801","748","1","858","UY","Administración Nacional de Telecomunicaciones","Uruguay","858"
"74800","748","0","858","UY","Administración Nacional de Telecomunicaciones","Uruguay","858"
"74800","748","0","858","UY","Administración Nacional de Telecomunicaciones","Uruguay","858"
"74800","748","0","858","UY","Administración Nacional de Telecomunicaciones","Uruguay","858"
"746999","746","999","597","SR","Fix Line","Suriname","740"
"74605","746","5","740","SR","Telecommunications Company Suriname (Telesur)","Suriname","740"
"74605","746","5","740","SR","Telecommunications Company Suriname (Telesur)","Suriname","740"
"74605","746","5","740","SR","Telecommunications Company Suriname (Telesur)","Suriname","740"
"74604","746","4","740","SR","Digicel Group Limited","Suriname","740"
"74603","746","3","740","SR","Digicel Group Limited","Suriname","740"
"74602","746","2","740","SR","Telecommunications Company Suriname (Telesur)","Suriname","740"
"74601","746","1","597","SR","Telesur","Suriname","740"
"74406","744","6","600","PY","Copaco S.A.","Paraguay","600"
"74406","744","6","600","PY","Copaco S.A.","Paraguay","600"
"74406","744","6","600","PY","Copaco S.A.","Paraguay","600"
"74406","744","6","600","PY","Copaco S.A.","Paraguay","600"
"74406","744","6","600","PY","Copaco S.A.","Paraguay","600"
"74406","744","6","600","PY","Copaco S.A.","Paraguay","600"
